Title	URL	Assignees	Status	Milestone	Sprint	Parent issue	Sub-issues progress
EPIC: GLUE - Conversational Glue Implementation	https://github.com/mediajunkie/piper-morgan-product/issues/762	mediajunkie	Sprint Backlog	MVP	M0 - Conversational Glue		18 / 23 (78%)
M0-GLUE Sprint Completion Gate	https://github.com/mediajunkie/piper-morgan-product/issues/779	mediajunkie	In Progress	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
GLUE-FOLLOWUP: Follow-up recognition with lens inheritance	https://github.com/mediajunkie/piper-morgan-product/issues/763	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
GLUE-MULTIINTENT: Multi-intent handling enhancements	https://github.com/mediajunkie/piper-morgan-product/issues/764	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
GLUE-SLOTFILL: Natural slot filling without interrogation	https://github.com/mediajunkie/piper-morgan-product/issues/765	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
GLUE-MAINPROJ: Fix "Is that your main project?" repeated question	https://github.com/mediajunkie/piper-morgan-product/issues/766	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
GLUE-SOFTINVOKE: Soft workflow invocation from natural language	https://github.com/mediajunkie/piper-morgan-product/issues/767	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
History Sidebar shows same data as Conversation List - needs differentiation	https://github.com/mediajunkie/piper-morgan-product/issues/785	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
GLUE-HISTORY-DIFF: Differentiate History sidebar from Conversation list	https://github.com/mediajunkie/piper-morgan-product/issues/786	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Dead-end response patterns in error handling (no forward path)	https://github.com/mediajunkie/piper-morgan-product/issues/816	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
In-memory stores keyed by session_id only, not user-scoped	https://github.com/mediajunkie/piper-morgan-product/issues/817	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Slot filling prompts not informed by conversational lens context	https://github.com/mediajunkie/piper-morgan-product/issues/821	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Soft invocation confidence not boosted by conversational lens context	https://github.com/mediajunkie/piper-morgan-product/issues/822	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Formality/warmth system not unified across features	https://github.com/mediajunkie/piper-morgan-product/issues/823	mediajunkie	Sprint Backlog	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
TrustStage hardcoded to BUILDING — real computation not connected	https://github.com/mediajunkie/piper-morgan-product/issues/826	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Lens stack digression handling (pop) never called	https://github.com/mediajunkie/piper-morgan-product/issues/827	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Architect note: entity tokens (project names) in response templates	https://github.com/mediajunkie/piper-morgan-product/issues/818	mediajunkie	Sprint Backlog	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Bug: test_get_conversation_summary fails — coroutine mock issue	https://github.com/mediajunkie/piper-morgan-product/issues/813	mediajunkie	Sprint Backlog	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Explicit setup requests should trigger interactive onboarding, not static guidance	https://github.com/mediajunkie/piper-morgan-product/issues/814	mediajunkie	Sprint Backlog	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Bug: is_default not persisted during onboarding project creation	https://github.com/mediajunkie/piper-morgan-product/issues/815	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Soft invocation not applied to multi-intent orchestrated responses	https://github.com/mediajunkie/piper-morgan-product/issues/819	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Lens extraction not wired into intent processing pipeline	https://github.com/mediajunkie/piper-morgan-product/issues/820	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Soft offer accept/decline cycle not closed — detect_offer_response never called	https://github.com/mediajunkie/piper-morgan-product/issues/824	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
Slot filling module built but never integrated into any workflow	https://github.com/mediajunkie/piper-morgan-product/issues/825	mediajunkie	Done	MVP	M0 - Conversational Glue	https://github.com/mediajunkie/piper-morgan-product/issues/762
